step,time,c_min,c_max
1,5e-06,0.612430615936235,0.643162945851811
2,1e-05,0.5280359568539453,0.6765244375118987
3,1.5000000000000002e-05,0.24500661697099216,0.7740602556189973
4,2e-05,0.09015695303615273,0.8645890682313414
5,2.5e-05,0.030243582329782897,0.9197582032409686
6,3e-05,0.0067983747118659935,0.9510387206287809
7,3.5000000000000004e-05,-0.00504609622419307,0.9651172343006605
8,4e-05,-0.010256071673923065,0.9683371373343035
9,4.5e-05,-0.01231630647808293,0.9691630864865634
10,5e-05,-0.013126006570793955,0.9735761329178275
11,5.5e-05,-0.014398813681455213,0.9753303940390269
12,6e-05,-0.015197933458600875,0.978777590158806
13,6.500000000000001e-05,-0.016111292364353106,0.9824637314707485
14,7.000000000000001e-05,-0.018883160856637105,0.9877254079956597
15,7.500000000000001e-05,-0.02035251219298312,0.991556512564679
16,8e-05,-0.020976648877670676,0.9936388669836399
17,8.5e-05,-0.02106423300896146,0.9940851469779796
18,9e-05,-0.020802406579896682,0.9934870021954862
19,9.5e-05,-0.02029241401984026,0.9921414282005391
20,0.0001,-0.019579559614408625,0.9917065617528676
21,0.000105,-0.018673367056912304,0.9936451344281818
22,0.00011,-0.01775690832387354,0.9947779127668128
23,0.000115,-0.01788477823409304,0.9952196966145695
24,0.00012,-0.01803126890024238,0.995118267979448
25,0.000125,-0.01810041602299246,0.9947759680018636
26,0.00013000000000000002,-0.018187640950821798,0.9945166372360972
27,0.00013500000000000003,-0.01837403958190322,0.9940346394174963
28,0.00014000000000000004,-0.018528365357502123,0.9933462542806457
29,0.00014500000000000006,-0.01868593605341092,0.9924553875042242
30,0.00015000000000000007,-0.018922194897542884,0.9913567387730652
31,0.00015500000000000008,-0.019096528382223588,0.9900364611505214
32,0.0001600000000000001,-0.019205778911715012,0.9884723684860476
33,0.0001650000000000001,-0.019273762713502056,0.9882056597065331
34,0.00017000000000000012,-0.019316614451406623,0.9927488373671034
35,0.00017500000000000013,-0.01934447132669277,0.9951553583411827
36,0.00018000000000000015,-0.01936345522009943,0.9963832350481447
37,0.00018500000000000016,-0.019376998469958703,0.9969635560670242
38,0.00019000000000000017,-0.01938692902543189,0.9996308676424343
39,0.00019500000000000019,-0.019394456759029004,1.0045528950683982
40,0.0002000000000000002,-0.01940092656568369,1.0079934177066776
41,0.0002050000000000002,-0.019408373229567084,1.0101948576182014
42,0.00021000000000000023,-0.019420213654174918,1.0114894993032242
43,0.00021500000000000024,-0.019442745435233912,1.0121039454025174
44,0.00022000000000000025,-0.019604886672597775,1.012166742831418
45,0.00022500000000000026,-0.01975788448936209,1.01259871092605
46,0.00023000000000000028,-0.019844351788925164,1.01279880984799
47,0.0002350000000000003,-0.020007753139335463,1.0127609680024803
48,0.0002400000000000003,-0.02026333705656058,1.0124357463686968
49,0.0002450000000000003,-0.02047394545806193,1.0117311008519834
50,0.00025,-0.020613609992435254,1.010505902940721
