seed,theta1,theta2,theta3,target_vf,mesh_size,radius,beta_heaviside,beta_grf,N,E0,nu,p,C11,C12,C13,C14,C15,C16,C21,C22,C23,C24,C25,C26,C31,C32,C33,C34,C35,C36,C41,C42,C43,C44,C45,C46,C51,C52,C53,C54,C55,C56,C61,C62,C63,C64,C65,C66
1515755304,0.18131411105654102,0.6433996877330576,0.3111236484327575,0.650001637710778,0.04,0.1,10.0,15.0,100,21000.0,0.3,3.0,5090.218973369754,1461.371275869388,1528.0014287659164,-81.28182815631632,102.1114604679565,-100.31678565744097,1461.3713733617624,6488.949523983577,2000.6275340694497,-218.64472606828747,-36.44886825908714,-37.09063464345586,1528.001415425257,2000.6274809251515,6760.523263373338,-171.4451578223503,10.257426132812588,-7.331210721491656,-81.28184335323456,-218.64472199386614,-171.44516610123358,2151.78154380181,-29.87124342406269,21.333318052173265,102.11151171217915,-36.448835720741585,10.257450818358844,-29.871208567045972,1502.7313780600086,-98.50116183736952,-100.31685506577128,-37.090629880455204,-7.331249424675206,21.333290185686298,-98.50114727012377,1435.0482914258753
4269677804,0.30939021179786513,0.36459602750717807,0.4944760993260979,0.45552969588691283,0.04,0.1,10.0,15.0,100,21000.0,0.3,3.0,3276.132153897134,340.25465601057516,625.8459753116006,-11.54881550942436,-111.27912531420418,154.68150315157663,340.25394660562125,1105.0725800403893,165.61488669587374,-6.4652201746149665,-13.084668773046358,120.19942932364764,625.8452911594582,165.61527847000582,2896.2841719537764,-11.601573730873847,3.8753777664660554,42.17248193404104,-11.54879919073857,-6.46509708259657,-11.601250473861754,228.08481721711226,26.391937078215683,-31.516394598529565,-111.27930738370144,-13.085050844478058,3.8754185279193196,26.392117296068427,836.6913531468846,-9.444790750215047,154.68134629670166,120.19928396729091,42.17233037401932,-31.51641115851934,-9.44463936311647,290.27313922785015
1729871320,0.2105348708987,0.21541772163058154,0.5795563244987547,0.3956220127122618,0.04,0.1,10.0,15.0,100,21000.0,0.3,3.0,2555.952574637484,119.61711050886143,399.9165806385658,-14.246485457342292,-11.602487831340119,-20.96369657824216,119.61645738924088,651.815318841791,180.3666537629193,-3.7350424824613686,-3.2001041904297884,0.9295964524628814,399.91633615271417,180.36700054649063,2418.583027259804,-24.903127571581216,6.206777152694653,-10.544101389145759,-14.24675528833549,-3.735363808766303,-24.903580931967262,170.8395424468926,0.06559198894576339,-7.054802145752878,-11.602616658344996,-3.199950430542118,6.206758428622584,0.06537688238324436,486.01255020222897,7.674018222445657,-20.963859994676124,0.9294104995257156,-10.543803641602297,-7.054918979861918,7.674082908901969,173.49650121788054
1630149727,0.4038229642879089,0.2895895768619151,0.7010503875753358,0.8748734358208854,0.04,0.1,10.0,15.0,100,21000.0,0.3,3.0,15301.010507555238,5517.347779537926,5802.586907720792,-1.5748196284765825,151.3808615794038,65.63518666788555,5517.347779543001,15520.809853722361,5882.1833726170125,53.023625524705665,85.79136751638433,120.26648935128522,5802.586907717132,5882.183372634406,16431.1959033512,-81.86113640260999,128.6519089412946,20.713461849506494,-1.5748196176792533,53.023625535641386,-81.86113639811221,4791.82743221184,12.767714959744596,68.30992457759206,151.38086157684972,85.79136750842416,128.6519089478372,12.767714962346812,4663.948081513408,14.782034373263645,65.63518666682924,120.26648934734618,20.713461862768053,68.3099245802335,14.782034383559163,4369.178028741236
306123867,0.040226732856799674,0.5204378113932422,0.0908835098019557,0.8325189525327621,0.04,0.1,10.0,15.0,100,21000.0,0.3,3.0,10388.253043480207,4079.967715381026,3853.67577820052,37.26694664548825,315.17717221634507,-132.83284650488028,4079.967728504138,17640.013567665996,6118.473214530018,27.834712554584733,143.9852005258909,-71.68343281587624,3853.6757667771976,6118.473207110089,17007.73892138179,45.65357312494927,171.19532962374197,-42.49648954444949,37.26694413057731,27.834709451084013,45.653573732288756,5489.685723512691,-10.339636722323142,60.55160230339699,315.17722755115926,143.98521862226994,171.19535372319027,-10.33963177399399,2955.662698811702,76.3264654127178,-132.83285825640732,-71.68343265976586,-42.49648730502128,60.55159552679928,76.32648500803009,3318.3606595658766
356266791,0.32204288527774877,0.5775471285510236,0.6830762814711906,0.49797906503655126,0.04,0.1,10.0,15.0,100,21000.0,0.3,3.0,3457.6989185116086,727.0153163806441,1040.8792966633544,-84.18735376084383,-85.88792318602982,-54.103679307134165,727.0155204091473,1745.1263135119195,716.9405027020982,-161.82397561716928,15.392413611934117,-13.839231919888572,1040.8793267330595,716.9405830611494,4541.396859535502,-246.46330515084753,-160.27743563254796,2.938081984983573,-84.18713594430211,-161.82440966220227,-246.46340312523722,666.9920784700922,3.201271258669154,18.935134508518082,-85.8878812708241,15.392250157502437,-160.27737950248536,3.201471776575742,1210.0656957921196,-102.77808761368456,-54.10359895837706,-13.839278443704812,2.9381455152546345,18.935168248223235,-102.77793974599051,774.4371009456686
3039179901,0.29893569044451496,0.24566408395260284,0.028986952149448273,0.9787952572228182,0.04,0.1,10.0,15.0,100,21000.0,0.3,3.0,24766.3626750931,10316.80505609498,10419.837519119515,7.129237277461333,1.725399632819909,15.86427835192665,10316.805056097686,24826.674916563297,10421.220751610088,9.455694918601626,2.920297794013774,8.523285897080283,10419.837519122017,10421.220751612882,25190.437311121026,16.330830938223514,7.517328346008936,5.777580620233735,7.129237279022528,9.455694917988968,16.330830937259368,7164.934755196208,1.5792261385285142,2.0541842481405226,1.7253996352633805,2.9202977961932044,7.517328348673041,1.5792261384907083,7171.548932245895,6.104797281121751,15.864278358196026,8.52328590280949,5.77758062239612,2.054184247798247,6.104797280883419,7073.479280391823
1728168660,0.3136427045478339,0.47134931674336206,0.5766439574042713,0.5560615122830813,0.04,0.1,10.0,15.0,100,21000.0,0.3,3.0,4172.013073582209,1208.2246758112756,1439.282880397737,-5.669320506723404,-17.80680181372702,901.275589983868,1208.2245550895764,2888.162005172267,1066.5008804425029,-3.5915304151411305,4.640344339382888,360.6963617249209,1439.2826320423408,1066.5006337135262,7077.296042154933,-60.303317950187996,-52.708851223226574,383.75024405846085,-5.669204931292084,-3.591505509122233,-60.30321397405999,1141.5942316909818,422.0824347471808,1.8803657296863843,-17.80687018315988,4.640438616331958,-52.70877338402207,422.0823865639369,1600.6898008599458,-2.3429833869753773,901.2758652062458,360.69650584823177,383.75049008389175,1.8806173933754649,-2.3430496210622027,965.1251960624463
397835728,0.30865019456547355,0.7202700823358646,0.6999894091594844,0.6382480511421742,0.04,0.1,10.0,15.0,100,21000.0,0.3,3.0,6076.2936323011945,1669.0785937887224,1411.6911611029043,26.705796970536845,-411.1762732905312,139.08066113192214,1669.0786787130396,6413.118897249011,1493.1755711046937,124.98583851546017,-35.10609445904496,32.7440526161875,1411.6913010771689,1493.1754688648043,4963.080153570931,108.2988886097722,-131.088824515636,30.119611525447258,26.7056376311245,124.98562651345487,108.29861870555953,1540.5370024351905,85.07606598846162,-65.98053791298965,-411.1763426955395,-35.10608002435966,-131.08876567030407,85.07609922012668,1476.7659261767128,-1.3205302513759218,139.08068259144287,32.744077958043796,30.1195636038148,-65.98044349878614,-1.320586714246885,1775.0878213248352
1666776709,0.337537849404643,0.7197770922395649,0.0011643934791878087,0.8923439722247004,0.04,0.1,10.0,15.0,100,21000.0,0.3,3.0,13650.635767570466,5456.538414021782,5368.459760201719,24.021746227171263,6.331399063173983,262.69432713901455,5456.5384140267915,18433.27408148463,6807.380468212117,45.856698708306105,69.70866242727855,305.9356200883284,5368.459760198254,6807.380468207399,18308.33167412816,83.35791351790539,65.01407890922769,155.88131764267365,24.021746224738948,45.856698706033875,83.35791351596633,5630.682536254526,112.57634028312496,65.62130130634996,6.331399063020095,69.70866242172504,65.01407891091286,112.5763402856535,4022.2425454718314,20.872211826369334,262.694327142533,305.93562009183785,155.8813176409351,65.62130130620605,20.872211827946604,4221.524929430789
